Team,"Player
Ratings",Level,Region,Category,Arm,Batting_Pos,Bowling_Style,"Matches
 Played",Runs,Wickets,Strike Rate,Players,Price(RS),Age,Birth_Date,Country
CSK,10,Capped,Domestic,All_Rounder,Left,Tailender,Spinner,200,2386,127,151,Ravindra Jadeja,150.00M,35,1988-04-27,India
CSK,10,Capped,Domestic,Bowler,Right,Tailender,Seamer,63,79,59,140,Deepak Chahar,140.00M,27,1996-04-12,India
CSK,10,Capped,Domestic,Wicket_Keeper,Right,Middle,Can't Bowl,220,4746,0,135,MS Dhoni,120.00M,43,1980-07-07,India
CSK,10,Capped,Overseas,All_Rounder,Left,Middle,Spinner,34,666,16,150,Moeen Ali,80.00M,35,1988-12-25,England
CSK,10,Capped,Domestic,Wicket_Keeper,Right,Opener,Can't Bowl,175,3916,0,130,Ambati Raydu,67.50M,38,1986-01-23,India
CSK,10,Capped,Domestic,Batter,Right,Opener,Can't Bowl,22,839,0,170,Ruturaj Gaikwad,60.00M,25,1998-04-06,India
CSK,10,Capped,Overseas,All_Rounder,Right,Tailender,Seamer,151,1537,167,174,Dwayne Bravo,44.00M,40,1983-10-23,West Indies
CSK,9,Capped,Domestic,All_Rounder,Left,Middle,Seamer,24,400,11,140,Shivam Dube,40.00M,30,1993-06-28,India
CSK,8.5,Capped,Overseas,Bowler,Right,Tailender,Seamer,75,358,80,132,Chris Jordan,36.00M,36,1987-09-23,England
CSK,9.5,Capped,Domestic,Wicket_Keeper,Right,Middle,Can't Bowl,193,4722,0,130,Robin Uthappa,20.00M,37,1986-08-05,India
CSK,8.5,Capped,Overseas,All_Rounder,Left,Tailender,Spinner,62,358,66,130,Mitchell Santner,19.00M,33,1990-12-20,New Zealand
CSK,9,Capped,Overseas,Bowler,Right,Tailender,Seamer,31,22,32,100,Adam Milne,19.00M,29,1994-03-18,New Zealand
CSK,8.5,Uncapped,Domestic,Bowler,Right,Tailender,Spinner,0,0,0,100,Rajvardhan Hangargekar,15.00M,22,2001-09-16,India
CSK,7,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Prashant Solanki,12.00M,21,2002-04-04,India
CSK,8,Capped,Overseas,Wicket_Keeper,Left,Middle,Can't Bowl,20,600,0,140,Devon Conway,10.00M,34,1990-01-26,New Zealand
CSK,8,Uncapped,Overseas,Bowler,Left,Tailender,Seamer,15,18,14,150,Maheesh Theekshana,7.00M,37,1986-06-15,Sri Lanka
CSK,8,Capped,Overseas,All_Rounder,Left,Middle,Seamer,22,170,23,161,Dwaine Pretorius,5.00M,32,1992-01-08,South Africa
CSK,7,Uncapped,Domestic,Batter,Right,Tailender,Can't Bowl,22,498,0,141,C Hari Nishaanth,2.00M,25,1998-12-01,India
CSK,7,Uncapped,Domestic,Wicket_Keeper,Right,Middle,Can't Bowl,24,1916,0,140,N Jagdeesan,2.00M,22,2001-08-07,India
